fecha;enso_a̱o;enso_mes;anomalia_oni;temp_sst;temp_media;soi;iod
1/01/1970;Ni̱a;Neutral;0.48;26.36;26.64;-1.26;0.297
1/02/1970;Ni̱a;Neutral;0.41;26.56;26.64;-1.22;0.326
1/03/1970;Ni̱a;Neutral;0.13;27.02;26.64;0.06;0.068
1/04/1970;Ni̱a;Neutral;0.34;27.4;26.64;-0.56;0.219
1/05/1970;Ni̱a;Neutral;0.1;27.53;26.65;0.04;0.182
1/06/1970;Ni̱a;Neutral;-0.31;27.35;26.65;1.02;-0.385
1/07/1970;Ni̱a;Ni̱a;-0.7;26.9;26.65;-0.52;-0.57
1/08/1970;Ni̱a;Ni̱a;-0.87;26.46;26.65;0.31;-0.351
1/09/1970;Ni̱a;Ni̱a;-0.7;26.34;26.65;1.18;-0.6
1/10/1970;Ni̱a;Ni̱a;-0.73;26.33;26.65;0.74;-0.638
1/11/1970;Ni̱a;Ni̱a;-0.78;26.35;26.65;1.85;-0.307
1/12/1970;Ni̱a;Ni̱a;-1.06;26.33;26.64;1.83;-0.235
1/01/1971;Ni̱a;Ni̱a;-1.6;26.42;26.64;0.23;0.198
1/02/1971;Ni̱a;Ni̱a;-1.42;26.61;26.64;1.44;0.013
1/03/1971;Ni̱a;Ni̱a;-1.13;27.06;26.64;1.98;0.208
1/04/1971;Ni̱a;Ni̱a;-0.8;27.44;26.65;2.58;0.24
1/05/1971;Ni̱a;Ni̱a;-0.61;27.56;26.65;0.88;-0.074
1/06/1971;Ni̱a;Ni̱a;-0.78;27.38;26.65;0.21;-0.236
1/07/1971;Ni̱a;Ni̱a;-0.82;26.94;26.66;0.17;-0.354
1/08/1971;Ni̱a;Ni̱a;-0.79;26.54;26.65;1.42;-0.547
1/09/1971;Ni̱a;Ni̱a;-0.71;26.42;26.65;1.51;-0.746
1/10/1971;Ni̱a;Ni̱a;-0.96;26.43;26.65;1.75;-0.629
1/11/1971;Ni̱a;Ni̱a;-0.88;26.43;26.65;0.55;0.017
1/12/1971;Ni̱a;Ni̱a;-1.03;26.4;26.65;0.15;0.215
1/01/1972;Ni̱a - Ni̱o;Ni̱a;-0.78;26.42;26.65;0.33;0.143
