Id_estacio;Nom_Est;Longitud_geo;Latitud_geo;alt_est;ET_mmy;Porc_datos;Celda_XY;Cant_Est;departamento;municipio;AH;ZSZH;vereda;SUBREGION;depto_region
25021320;EL SUDAN [25021320];-74,20999962;8,639995954;39;1582;83;(10-9);3;Bolivar;Tiquisio(PuertoRico);MagdalenaCauca;CaucaSanJorgeDirectosBajoCaucaCgaLaRayaRioNechi;EL SUDAN;;Bolivar - 
26200120;OTRAMINA [26200120];-75,79458739;6,07294225;1381;1210;97;(4-5);12;Antioquia;Titiribi;MagdalenaCauca;DirectosRioCaucaentreRioSanJuanyPtoValdivia;SITIO VIEJO;SUROESTE;Antioquia - Suroeste
26235030;MATANZAS [26235030];-75,66594696;7,035834154;540;1431;87;(6-6);14;Antioquia;Toledo;MagdalenaCauca;DirectosRioCaucaentreRioSanJuanyPtoValdivia;MIRAFLORES;Norte;Antioquia - Norte
23190410;BRASIL EL [23190410];-73,01667102;7,149998148;1882;1094;4;(6-11);27;Santander;Tona;MagdalenaCauca;RioLebrijayotrosdirectosalMagdalena;CARAGUA;;Santander - 
23190690;MARIANA LA HACIENDA [23190690];-73;7,116669015;2674;934;0;(6-12);2;Santander;Tona;MagdalenaCauca;RioLebrijayotrosdirectosalMagdalena;GUAUMALES;;Santander - 
23195060;MARIANA LA [23195060];-73;7,116669015;2674;934;11;(6-12);2;Santander;Tona;MagdalenaCauca;RioLebrijayotrosdirectosalMagdalena;GUAUMALES;;Santander - 
26110070;SAN ANTONIO [26110070];-76,06666889;4,616666209;933;1323;58;(1-5);14;ValledelCauca;Toro;MagdalenaCauca;RiosPescadorRUTChancoCatarinayCañaveral;EL BOHIO;;ValledelCauca - 
26110160;SAN FRANCISCO [26110160];-76,03572587;4,684862497;945;1320;93;(1-5);14;ValledelCauca;Toro;MagdalenaCauca;RiosPescadorRUTChancoCatarinayCañaveral;SAN FRANCISCO;;ValledelCauca - 
26110300;CEROS [26110300];-76,03444169;4,616389189;907;1330;78;(1-5);14;ValledelCauca;Toro;MagdalenaCauca;RiosPescadorRUTChancoCatarinayCañaveral;EL BOHIO;;ValledelCauca - 
11140010;MARIRRIO [11140010];-76,95000428;8,000000001;11;1591;3;(8-3);18;Antioquia;Turbo;Caribe;DarienDirectosBajoAtratoentreRioSucioydesembocadura;LEONCITO;URABA;Antioquia - Urabá
12010010;TORMENTO EL [12010010];-76,85527719;7,76638536;1;1594;92;(8-3);18;Antioquia;Turbo;Caribe;LitoralRioLeon;LOS MANGOS MEDIOS;URABA;Antioquia - Urabá
12010100;EUPOL [12010100];-76,61738789;7,945529218;30;1585;78;(8-4);15;Antioquia;Turbo;Caribe;LitoralRioLeon;AGUAS FRIAS;URABA;Antioquia - Urabá
12010110;PRADO MAR [12010110];-76,63853114;7,987413348;26;1586;84;(8-3);18;Antioquia;Turbo;Caribe;LitoralRioMulatosyotrosdirectosalCaribe;COMUNAL LA SUERTE;URABA;Antioquia - Urabá
12010120;SANTA MARTHA [12010120];-76,6490848;7,923829281;20;1588;84;(8-3);18;Antioquia;Turbo;Caribe;LitoralRioLeon;PALOS BLANCOS;URABA;Antioquia - Urabá
12010140;RIOGRANDE [12010140];-76,63333371;7,933332813;27;1586;8;(8-3);18;Antioquia;Turbo;Caribe;LitoralRioLeon;COMUNAL LA SUERTE;URABA;Antioquia - Urabá
12010170;NUEVO Oriente [12010170];-76,68955795;7,460330546;21;1588;41;(7-3);4;Antioquia;Turbo;Caribe;DarienDirectosBajoAtratoentreRioSucioydesembocadura;NUEVA ESPERANZA;URABA;Antioquia - Urabá
12010180;CHOROMANDO HACIENDA [12010180];-76,58333557;7,949997319;295;1503;24;(8-4);15;Antioquia;Turbo;Caribe;LitoralRioLeon;AGUAS FRIAS;URABA;Antioquia - Urabá
12015040;NEGRA LA 1 [12015040];-76,68333259;7,949997832;9;1592;1;(8-3);18;Antioquia;Turbo;Caribe;LitoralRioLeon;COMUNAL SAN JORGE;URABA;Antioquia - Urabá
12015050;RIOGRANDE [12015050];-76,63333232;7,916669535;22;1588;19;(8-3);18;Antioquia;Turbo;Caribe;LitoralRioLeon;VEREDA BAJO DEL OSO;URABA;Antioquia - Urabá
12020010;PUEBLO BELLO [12020010];-76,51999761;8,199993663;135;1552;95;(9-4);2;Antioquia;Turbo;Caribe;LitoralRioMulatosyotrosdirectosalCaribe;MONO MACHO;URABA;Antioquia - Urabá
12020040;NUEVA ANTIOQUIA [12020040];-76,55000023;8,050001215;192;1534;17;(8-4);15;Antioquia;Turbo;Caribe;LitoralRioMulatosyotrosdirectosalCaribe;BOCA LIMON;URABA;Antioquia - Urabá
12020170;PLAYONA LA [12020170];-76,64999787;8,183329473;447;1458;12;(9-3);7;Antioquia;Turbo;Caribe;LitoralRioMulatosyotrosdirectosalCaribe;EL CAHUAL;URABA;Antioquia - Urabá
12025010;AEROPUERTO GONZALO [12025010];-76,73332981;8,116671003;5;1593;26;(9-3);7;Antioquia;Turbo;Caribe;LitoralRioMulatosyotrosdirectosalCaribe;BOCAS DEL RIO TURBO;URABA;Antioquia - Urabá
12025040;TURBO - AUT [12025040];-76,71633628;8,091802501;9;1592;45;(9-3);7;Antioquia;Turbo;Caribe;Litoral;;URABA;Antioquia - Urabá
11135030;UNGUIA - AUT [11135030];-77,08785839;8,036722815;10;1591;89;(8-2);3;Choco;Unguia;Caribe;DarienRioTanelayotrosDirectosalCaribe;UNGUIA;;Choco - 
11150010;TITUMATE [11150010];-77,0758355;8,308058303;11;1591;87;(9-3);7;Choco;Unguia;Caribe;DarienRioToloyotrosDirectosalCaribe;TITUMATE;;Choco - 
11150020;TANELA [11150020];-77,04041984;8,162916978;14;1590;87;(9-3);7;Choco;Unguia;Caribe;DarienRioTanelayotrosDirectosalCaribe;SANTA MARIA;;Choco - 
11155020;GLORIA LA [11155020];-77,06666387;8,266663872;129;1554;3;(9-3);7;Choco;Unguia;Caribe;DarienRioTanelayotrosDirectosalCaribe;TITUMATE;;Choco - 
11070020;ROBLE EL [11070020];-76,22861033;6,33221791;1475;1187;85;(5-4);2;Antioquia;Urrao;Caribe;DarienRioMurri;CROBUGO MEDIO;SUROESTE;Antioquia - Suroeste
11070030;CLARITA LA [11070030];-76,15860691;6,539444698;2311;1004;83;(5-5);18;Antioquia;Urrao;Caribe;DarienRioMurri;LA CLARA;SUROESTE;Antioquia - Suroeste
11070040;URRAO [11070040];-76,1666622;6,333331774;2167;1034;6;(5-4);2;Antioquia;Urrao;Caribe;DarienRioMurri;LA FLORIDA;SUROESTE;Antioquia - Suroeste
11070130;BRECHON EL [11070130];-76,03333522;6,133335832;2097;1048;56;(4-5);12;Antioquia;Urrao;Caribe;DarienRioMurri;PENDERISON ARRIBA;SUROESTE;Antioquia - Suroeste
11075010;HONDA LA [11075010];-76,15805106;6,356390775;1820;1108;38;(5-5);18;Antioquia;Urrao;Caribe;DarienRioMurri;LA VENTA;SUROESTE;Antioquia - Suroeste
11075020;URRAO [11075020];-76,14330241;6,298303986;1887;1093;83;(5-5);18;Antioquia;Urrao;Caribe;DarienRioMurri;LA MAGDALENA;SUROESTE;Antioquia - Suroeste
23060190;UTICA [23060190];-74,4855038;5,196082695;491;1445;86;(2-8);12;Cundinamarca;Utica;MagdalenaCauca;RioNegro;;;Cundinamarca - 
26240120;PUERTO VALDIVIA [26240120];-75,43333297;7,300003323;960;1316;20;(7-6);13;Antioquia;Valdivia;MagdalenaCauca;RioTarazaRioMan;LA AMERICA;Norte;Antioquia - Norte
26240150;PUERTO VALDIVIA [26240150];-75,40000081;7,290000806;294;1503;73;(7-6);13;Antioquia;Valdivia;MagdalenaCauca;DirectosRioCaucaentreRioSanJuanyPtoValdia;MONTEFRIO;Norte;Antioquia - Norte
26250060;PUERTO RAUDAL [26250060];-75,32760877;7,369914493;139;1551;87;(7-6);13;Antioquia;Valdivia;MagdalenaCauca;RioTarazaRioMan;PUERTO RAUDAL;Norte;Antioquia - Norte
27020260;TESORO EL [27020260];-75,30219656;7,246780741;1036;1296;79;(7-6);13;Antioquia;Valdivia;MagdalenaCauca;AltoNechi;LOS POMOS;Norte;Antioquia - Norte
13040030;PEZVAL [13040030];-76,16916702;8,262218134;69;1573;55;(9-5);10;Cordoba;Valencia;Caribe;MedioSinu;INCORA EL FARO;;Cordoba - 
13045010;JARAGUAY [13045010];-76,08333251;8,300001809;35;1583;27;(9-5);10;Cordoba;Valencia;Caribe;MedioSinu;PESCADO ABAJO;;Cordoba - 
23100030;TIGRE EL [23100030];-74,78566462;6,840473782;977;1311;98;(6-8);8;Antioquia;Vegachi;MagdalenaCauca;RioSanBartoloyotrosdirectosalMagdalenaMedio;VEREDA SAN JUAN;Nordeste;Antioquia - Nordeste
23105030;VEGACHI [23105030];-74,79653123;6,774113144;981;1310;82;(6-8);8;Antioquia;Vegachi;MagdalenaCauca;RioSanBartoloyotrosdirectosalMagdalenaMedio;;Nordeste;Antioquia - Nordeste
23120090;LANDAZURI [23120090];-73,81667059;6,216669129;920;1326;10;(4-10);8;Santander;Velez;MagdalenaCauca;RioCarare(Minero);AGUACHICA;;Santander - 
24015270;VELEZ GRANJA [24015270];-73,67277594;5,997218342;2126;1042;94;(4-10);8;Santander;Velez;MagdalenaCauca;RioSuarez;;;Santander - 
21250100;ESTRELLA LA [21250100];-74,89869656;4,76183016;410;1469;58;(1-7);23;Tolima;Venadillo;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;COFRADIA DE GALLEGO;;Tolima - 
21250460;VENADILLO [21250460];-74,91774971;4,663807783;372;1480;85;(1-7);23;Tolima;Venadillo;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;PALMAROSA;;Tolima - 
26200130;BOLOMBOLO [26200130];-75,83999678;5,969995536;532;1434;79;(4-5);12;Antioquia;Venecia;MagdalenaCauca;DirectosRioCaucaentreRioSanJuanyPtoValdivia;BOLOMBOLO;SUROESTE;Antioquia - Suroeste
26205070;PLATA LA [26205070];-75,81666392;5,983330861;749;1373;18;(4-5);12;Antioquia;Venecia;MagdalenaCauca;DirectosRioCaucaentreRioSanJuanyPtoValdivia;BOLOMBOLO;SUROESTE;Antioquia - Suroeste
23020100;VICTORIA LA [23020100];-74,91464309;5,321079342;779;1364;88;(2-7);24;Caldas;Victoria;MagdalenaCauca;RioGuarino;;;Caldas - 
23040070;CANAVERAL [23040070];-74,94197256;5,328419766;1061;1290;86;(2-7);24;Caldas;Victoria;MagdalenaCauca;RioLaMiel(Samana);CañaVERAL;;Caldas - 
23050070;NORCASIA [23050070];-74,71666521;5,566667365;181;1538;18;(3-8);10;Caldas;Victoria;MagdalenaCauca;DirectosMagdalenaentreRiosGuarinoyLaMiel;ISAZA;;Caldas - 
11060010;BUCHADO [11060010];-76,77928065;6,420003993;14;1590;99;(5-3);4;Antioquia;VigiaDelFuerte;Caribe;DarienDirectosAtratoentreRiosBebaramayMurri(md);BUCHADO;URABA;Antioquia - Urabá
